zi,chaizi
水,"['乛', '亅', '丶', '乀']"
罓,"['冖', '乂']"
贝,"['冂', '人']"
见,"['冂', '丿', '乚']"
禸,"['冂', '厶']"
午,"['丿', '干']"
手,"['丿', '二', '亅']"
牛,"['丿', '一', '十']"
毛,"['丿', '一', '匕']"
气,"['乞', '一']"
气,"['丿', '一', '一', '乙']"
壬,"['丿', '士']"
牜,"['丿', '十', '丿']"
升,"['千', '丨']"
升,"['丿', '十', '丿']"
夭,"['丿', '大']"
攵,"['丿', '一', '乂']"
仁,"['人', '二']"
仁,"['亻', '二']"
什,"['亻', '十']"
什,"['人', '十']"
仃,"['亻', '丁']"
仃,"['人', '丁']"
片,"['丄', '丿', '㇆']"
仆,"['人', '卜']"
仆,"['亻', '卜']"
仈,"['人', '八']"
仈,"['亻', '八']"
仇,"['人', '九']"
仇,"['亻', '九']"
仉,"['人', '几']"
仉,"['亻', '几']"
化,"['亻', '匕']"
化,"['人', '匕']"
币,"['一', '巾']"
币,"['丿', '巾']"
仂,"['人', '力']"
仂,"['亻', '力']"
仍,"['亻', '乃']"
仍,"['人', '乃']"
仅,"['亻', '又']"
仅,"['人', '又']"
仏,"['亻', '厶']"
仏,"['人', '厶']"
斤,"['厂', '丅']"
爪,"['厂', '丨', '乀']"
丯,"['丨', '彡']"
反,"['厂', '又']"
仐,"['人', '十']"
兮,"['八', '丂']"
刈,"['乂', '刀']"
刈,"['乂', '刂']"
介,"['人', '丿', '丨']"
仌,"['人', '人']"
从,"['人', '人']"
父,"['八', '乂']"
爻,"['乂', '乂']"
仑,"['人', '匕']"
尣,"['八', '儿']"
爫,"['丿', '小']"
爫,"['丿', '丶', '丶', '丶']"
仒,"['人', '冰']"
仒,"['人', '丶', '丶']"
仒,"['人', '冫']"
今,"['人', '丶', '乛']"
凶,"['凵', '乂']"
分,"['八', '刀']"
乏,"['丿', '之']"
公,"['八', '厶']"
仓,"['人', '卩']"
仓,"['人', '㔾']"
月,"['冂', '一', '一']"
卆,"['九', '十']"
厃,"['刀', '厂']"
勿,"['勹', '丿', '丿']"
勽,"['勹', '人']"
欠,"['刀', '人']"
风,"['几', '乂']"
勼,"['勹', '九']"
丹,"['冂', '丶', '一']"
匀,"['勹', '冫']"
匀,"['勹', '冰']"
乌,"['勹', '㇉', '一']"
卬,"['匚', '卩']"
凤,"['几', '又']"
勾,"['勹', '厶']"
厹,"['九', '厶']"
殳,"['几', '又']"
卞,"['丶', '下']"
亣,"['丶', '丌']"
六,"['亠', '八']"
文,"['亠', '乂']"
亢,"['亠', '几']"
方,"['亠', '勹']"
方,"['亠', '刀']"
闩,"['门', '一']"
火,"['丷', '人']"
为,"['丶', '丿', '㇆', '丶']"
斗,"['丶', '丶', '十']"
忆,"['忄', '乙']"
忆,"['心', '乙']"
灬,"['丶', '丶', '丶', '丶']"
计,"['言', '十']"
计,"['讠', '十']"
订,"['讠', '丁']"
订,"['言', '丁']"
户,"['丶', '尸']"
礻,"['丶', '乙', '丨', '丶']"
讣,"['讠', '卜']"
讣,"['言', '卜']"
认,"['讠', '人']"
认,"['言', '人']"
冗,"['冖', '几']"
冘,"['冖', '人']"
冘,"['冖', '丿', '乚']"
讥,"['言', '几']"
讥,"['讠', '几']"
心,"['丿', '乚', '丶', '丶']"
丮,"['乁', '二', '丨']"
肀,"['彐', '丨']"
尹,"['彐', '丿']"
尹,"['尸', '一']"
夬,"['乛', '大']"
尺,"['尸', '乀']"
弖,"['弓', '一']"
引,"['弓', '丨']"
丑,"['㇆', '一', '丨', '一']"
爿,"['丨', '一', '丨', '一', '丿', '']"
孔,"['子', '乙']"
巴,"['巳', '丨']"
