zi,index,ini,fin,tone
听,1642,y,i,2
听,1642,y,in,3
听,1642,g,u,3
听,1642,t,ing,1
吤,1643,x,ie,4
吤,1643,g,e,4
吤,1643,j,ie,4
吟,1644,ch,ai,1
吟,1644,j,in,4
吟,1644,y,in,2
吟,1644,y,in,3
吩,1645,f,en,1
吩,1645,p,en,4
吩,1645,y,un,2
呛,1646,q,iang,4
呛,1646,q,iang,1
別,1647,b,ie,2
別,1647,b,ie,4
吻,1648,w,en,3
吹,1649,ch,ui,1
吹,1649,ch,ui,4
吹,1649,d,an,3
呁,1650,j,un,4
呜,1651,w,u,1
吺,1652,r,u,2
吺,1652,d,ou,1
呅,1653,k,eng,1
呅,1653,m,ei,2
呅,1653,w,en,3
吭,1654,h,ang,2
吭,1654,h,ang,4
吭,1654,k,eng,1
吙,1655,b,a,1
吙,1655,h,uo,1
吙,1655,p,a,1
呌,1656,j,iao,4
吣,1657,q,in,4
吚,1658,p,u,3
吚,1658,x,i,1
吚,1658,y,i,1
吳,1659,w,u,2
吳,1659,y,u,2
吷,1660,x,ue,4
吷,1660,j,ue,2
吷,1660,ch,uo,4
呉,1661,w,u,2
呎,1662,ch,i,3
呎,1662,q,iong,1
呎,1662,y,ing,1
吲,1663,sh,en,3
吲,1663,y,in,3
吜,1664,ch,ou,3
吧,1665,b,a,1
吧,1665,p,a,1
吧,1665,b,a,a
吼,1666,h,ou,3
邑,1667,,e,4
邑,1667,y,i,4
囤,1668,d,un,4
囤,1668,t,un,2
别,1669,b,ie,2
别,1669,b,ie,4
吮,1670,sh,un,3
岍,1671,q,ian,1
岍,1671,c,ao,2
岏,1672,ch,uan,4
岏,1672,w,an,2
帏,1673,w,ei,2
岐,1674,q,i,2
岐,1674,w,u,2
岖,1675,q,u,1
岠,1676,j,u,4
岠,1676,w,ang,4
岈,1677,y,a,2
岈,1677,m,an,3
岈,1677,x,ia,1
囬,1678,h,ui,2
刪,1679,sh,an,1
岗,1680,g,ang,3
岗,1680,d,u,4
岗,1680,g,ang,1
汖,1681,p,in,4
汖,1681,ch,i,2
汖,1681,f,u,4
岘,1682,x,ian,4
岆,1683,t,ong,1
岆,1683,y,ao,3
帐,1684,zh,ang,4
岓,1685,q,i,2
岅,1686,b,an,3
岅,1686,ch,ou,2
岕,1687,z,i,3
岕,1687,j,ie,4
岑,1688,c,en,2
岑,1688,m,an,2
岒,1689,q,ian,2
岎,1690,ch,a,4
岎,1690,f,en,2
岎,1690,l,u,4
帉,1691,l,ong,2
帉,1691,f,en,1
岄,1692,d,an,4
岄,1692,y,ue,4
岉,1693,h,u,4
岉,1693,w,u,4
岚,1694,l,an,2
岚,1694,sh,uang,4
岇,1695,,ang,2
岇,1695,d,an,4
帎,1696,d,an,4
兕,1697,s,i,4
岜,1698,b,a,1
岜,1698,j,u,4
帊,1699,p,a,1
帊,1699,p,a,4
帊,1699,y,i,4
囦,1700,y,uan,1
囮,1701,,e,2
坔,1702,j,ie,2
坔,1702,l,an,4
坔,1702,d,i,4
财,1703,h,e,2
财,1703,c,ai,2
冏,1704,j,iong,1
冏,1704,j,iong,3
呇,1705,d,ie,2
呇,1705,q,i,3
囧,1706,j,iong,3
囧,1706,zh,e,2
囵,1707,l,un,2
囫,1708,l,iang,2
囫,1708,h,u,2
觃,1709,y,an,4
囥,1710,k,ang,4
囥,1710,zh,uan,4
図,1711,t,u,2
针,1712,zh,en,1
针,1712,zh,en,3
钉,1713,d,ing,4
钉,1713,d,ing,1
钊,1714,zh,u,3
钊,1714,zh,ao,1
钋,1715,p,o,1
钌,1716,l,iao,3
钌,1716,l,iao,4
吿,1717,g,ao,4
吿,1717,h,u,2
迕,1718,w,u,3
迕,1718,w,u,4
劮,1719,y,i,4
劮,1719,h,uo,4
毜,1720,h,ao,2
氙,1721,b,i,4
氙,1721,x,ian,1
氚,1722,ch,uan,1
毝,1723,c,ai,3
牡,1724,r,ong,3
牡,1724,m,u,3
告,1725,g,u,4
告,1725,j,u,1
告,1725,g,ao,4
牤,1726,f,an,4
牤,1726,m,ang,1
牠,1727,t,a,1
牠,1727,t,uo,2
我,1728,w,o,3
牣,1729,r,en,4
牣,1729,y,u,4
乱,1730,l,uan,4
利,1731,l,i,4
秂,1732,r,en,2
禿,1733,t,u,1
秃,1734,j,i,4
秃,1734,t,u,1
秀,1735,x,iu,4
私,1736,s,i,1
私,1736,y,uan,3
忎,1737,y,uan,1
忎,1737,w,an,3
忎,1737,r,en,2
呑,1738,,ao,4
呑,1738,t,ian,1
呑,1738,t,un,1
岙,1739,,ao,4
每,1740,m,ei,3
每,1740,w,o,4
佅,1741,h,uan,4
佅,1741,m,ai,4
佞,1742,n,ing,4
佂,1743,zh,eng,1
兵,1744,b,ing,1
兵,1744,w,ei,2
邱,1745,q,iu,1
佉,1746,p,a,1
佉,1746,q,ia,1
佉,1746,q,u,1
佄,1747,g,an,4
佄,1747,h,an,1
伳,1748,x,ie,4
伳,1748,j,u,2
估,1749,g,u,1
估,1749,g,u,4
体,1750,b,en,4
体,1750,c,ui,4
体,1750,,er,2
体,1750,t,i,1
体,1750,t,i,3
何,1751,h,uan,4
何,1751,h,e,4
何,1751,h,e,1
何,1751,h,e,2
佐,1752,z,uo,3
伾,1753,p,i,1
佑,1754,y,ou,4
佦,1755,sh,i,i
佦,1755,f,ou,3
佦,1755,y,ou,4
佈,1756,b,u,4
伻,1757,b,eng,1
佧,1758,k,a,3
佔,1759,ch,an,1
佔,1759,d,ian,1
佔,1759,zh,an,4
攸,1760,g,ong,1
攸,1760,y,ou,1
伹,1761,z,u,4
伹,1761,q,u,1
但,1762,d,an,4
但,1762,t,an,3
但,1762,y,an,4
伸,1763,sh,en,1
伷,1764,zh,ou,4
佃,1765,t,ian,2
佃,1765,d,ian,4
佃,1765,m,ei,4
伿,1766,y,i,4
佒,1767,y,ang,3
佒,1767,y,ang,1
佀,1768,s,i,4
伵,1769,f,a,1
伵,1769,x,u,4
佚,1770,d,ie,2
佚,1770,y,i,4
作,1771,z,uo,2
作,1771,z,uo,4
作,1771,z,uo,1
伯,1772,b,a,4
伯,1772,b,ai,3
伯,1772,b,o,2
伯,1772,m,o,4
伱,1773,n,i,3
佡,1774,x,ian,1
伶,1775,d,eng,1
伶,1775,l,ing,2
佣,1776,y,ong,4
佣,1776,ch,ang,4
佣,1776,y,ong,1
低,1777,d,i,1
你,1778,n,i,3
佝,1779,g,ou,1
佝,1779,j,u,1
佝,1779,k,ou,4
佟,1780,t,ong,2
佨,1781,b,ao,1
住,1782,zh,u,4
位,1783,l,i,4
位,1783,w,ei,4
伭,1784,x,ian,2
伭,1784,x,uan,2
伴,1785,b,an,4
伴,1785,p,an,4
佇,1786,zh,u,4
佗,1787,t,uo,2
佗,1787,t,uo,4
佗,1787,t,uo,1
佗,1787,y,i,2
佖,1788,b,i,4
皁,1789,h,uan,4
皁,1789,z,ao,4
身,1790,j,uan,1
身,1790,q,ian,3
身,1790,sh,en,1
皂,1791,l,ong,4
皂,1791,z,ao,4
臫,1792,j,iao,3
皀,1793,x,iang,1
皀,1793,m,u,4
皀,1793,j,i,2
皀,1793,b,i,1
皃,1794,m,ao,4
皃,1794,x,i,4
劰,1795,m,iao,3
劰,1795,m,o,4
廹,1796,p,ai,3
廹,1796,p,o,4
伺,1797,s,i,4
伺,1797,f,ei,4
伺,1797,c,i,4
伲,1798,n,i,3
伲,1798,n,i,4
兎,1799,t,u,4
佛,1800,b,i,4
佛,1800,b,o,2
佛,1800,f,o,2
佛,1800,f,u,2
伮,1801,n,u,3
伮,1801,n,u,2
伮,1801,g,ui,1
伽,1802,g,a,1
伽,1802,j,ia,1
伽,1802,q,ie,2
佋,1803,sh,ao,2
佋,1803,sh,ao,4
佋,1803,zh,ao,1
佊,1804,b,i,3
囪,1805,l,u,4
囪,1805,c,ong,1
囱,1806,b,eng,1
囱,1806,ch,uang,1
囱,1806,c,ong,1
佁,1807,,ai,3
佁,1807,ch,i,4
佁,1807,s,i,4
佁,1807,y,i,3
佁,1807,zh,i,1
乕,1808,h,u,3
近,1809,j,in,4
巵,1810,zh,i,1
彺,1811,w,ang,2
彺,1811,w,ang,3
彻,1812,ch,e,4
彸,1813,l,ian,4
彸,1813,zh,ong,1
役,1814,c,ao,4
役,1814,y,i,4
坕,1815,m,ang,2
坕,1815,j,ing,1
彷,1816,f,ang,2
彷,1816,f,ang,3
彷,1816,p,ang,2
辵,1817,ch,uo,4
返,1818,f,an,3
佘,1819,sh,e,2
余,1820,y,u,4
余,1820,y,u,2
余,1820,t,u,2
余,1820,x,u,2
希,1821,x,i,1
佥,1822,l,uo,4
佥,1822,q,ian,1
兌,1823,y,ue,4
兌,1823,d,ui,4
兌,1823,r,ui,4
釆,1824,b,ian,4
釆,1824,b,ian,3
坐,1825,z,uo,4
谷,1826,g,u,3
谷,1826,l,u,4
谷,1826,y,u,4
尦,1827,j,i,1
尦,1827,l,iao,4
寽,1828,l,uo,2
寽,1828,l,v,4
寽,1828,l,ve,4
孚,1829,m,ang,4
孚,1829,f,u,2
妥,1830,t,uo,3
妥,1830,x,iong,4
豸,1831,c,ong,1
豸,1831,zh,i,4
含,1832,h,an,2
含,1832,h,an,4
刢,1833,l,ing,2
邻,1834,l,in,2
邻,1834,ch,e,4
坌,1835,b,en,4
坌,1835,j,i,1
弅,1836,f,en,4
弅,1836,l,i,2
岔,1837,ch,a,4
肝,1838,g,an,1
肝,1838,p,an,2
肟,1839,w,o,4
肟,1839,k,ang,1
肚,1840,d,u,3
肚,1840,d,u,4
肛,1841,g,ang,1
肘,1842,zh,ou,3
肐,1843,q,i,4
肐,1843,g,e,1
肐,1843,l,ai,2
肜,1844,r,ong,2
肜,1844,h,ao,2
肜,1844,ch,en,1
肑,1845,b,o,2
肑,1845,d,i,2
肒,1846,h,uan,4
肒,1846,y,e,4
肞,1847,ch,a,1
肞,1847,ch,ai,1
肞,1847,t,an,4
迌,1848,t,u,4
肔,1849,ch,i,3
肗,1850,r,u,3
肠,1851,ch,ang,2
肠,1851,l,v,3
肠,1851,x,u,1
肕,1852,r,en,4
凬,1853,f,eng,1
匉,1854,p,eng,1
帋,1855,zh,i,3
邸,1856,d,i,3
龟,1857,g,ui,1
龟,1857,j,un,1
龟,1857,q,iu,1
甸,1858,d,ian,1
甸,1858,d,ian,4
甸,1858,sh,eng,4
甸,1858,t,ian,2
甸,1858,y,ing,4
奂,1859,h,uan,4
免,1860,w,en,4
免,1860,m,ian,3
免,1860,w,an,3
邭,1861,j,u,4
劬,1862,j,i,2
劬,1862,q,u,2
狂,1863,j,ue,2
狂,1863,k,uang,2
狇,1864,m,u,4
犻,1865,p,ei,4
犻,1865,b,o,2
犻,1865,f,ei,4
犾,1866,f,an,2
犾,1866,y,in,2
犹,1867,y,ou,2
犹,1867,y,ou,4
犽,1868,x,ing,2
犽,1868,y,a,4
狆,1869,zh,ong,4
狈,1870,b,ei,4
狅,1871,k,uang,2
犿,1872,f,an,1
犿,1872,h,uan,1
犺,1873,g,ang,3
犺,1873,k,ang,4
狄,1874,d,i,2
狄,1874,t,i,4
飏,1875,y,ang,2
角,1876,l,u,4
角,1876,j,ue,2
角,1876,j,iao,3
角,1876,g,u,3
删,1877,sh,an,1
狃,1878,n,iu,3
狃,1878,n,v,4
犼,1879,h,ou,3
狁,1880,y,un,3
鸠,1881,j,iu,1
夆,1882,p,ang,2
夆,1882,f,eng,2
夆,1882,f,eng,1
条,1883,t,iao,1
条,1883,t,iao,2
彤,1884,t,ong,2
卵,1885,k,un,1
卵,1885,l,uan,3
灸,1886,j,iu,3
斘,1887,sh,eng,1
岛,1888,f,u,4
岛,1888,d,ao,3
邹,1889,y,i,4
邹,1889,z,ou,1
刨,1890,b,ao,4
刨,1890,p,ao,2
饨,1891,t,un,2
迎,1892,y,ing,2
迎,1892,y,ing,4
饩,1893,x,i,4
饪,1894,r,en,4
饫,1895,ch,ong,1
饫,1895,y,u,4
饬,1896,ch,i,4
饬,1896,l,i,2
饭,1897,f,an,4
饭,1897,y,u,2
饮,1898,ch,an,3
饮,1898,y,in,3
饮,1898,y,in,4
系,1899,zh,ao,3
系,1899,j,i,4
系,1899,x,i,4
言,1900,y,an,2
言,1900,y,an,4
言,1900,y,in,2
訁,1901,y,an,2
冹,1902,f,a,1
冹,1902,f,u,2
冻,1903,d,ong,4
状,1904,zh,uang,4
亩,1905,m,u,3
况,1906,k,uang,4
亨,1907,h,eng,1
亨,1907,p,eng,1
亨,1907,x,iang,3
庑,1908,w,u,3
庒,1909,zh,uang,1
床,1910,g,e,2
床,1910,ch,uang,2
庋,1911,g,ui,4
庋,1911,g,ui,3
库,1912,k,u,4
庌,1913,y,a,2
庌,1913,y,a,3
庉,1914,d,ou,4
庉,1914,d,un,4
庉,1914,t,un,2
庇,1915,p,i,2
庇,1915,p,i,3
庇,1915,b,i,4
亪,1916,sh,an,4
亪,1916,y,e,e
庍,1917,b,ai,4
庍,1917,t,ing,1
庍,1917,x,in,4
庎,1918,j,ie,4
庈,1919,q,in,2
疔,1920,l,in,4
疔,1920,n,e,4
疔,1920,d,ing,1
対,1921,d,ui,4
対,1921,x,ia,2
疕,1922,b,i,3
疕,1922,p,i,2
疖,1923,j,ie,1
疗,1924,l,iao,2
疓,1925,n,ai,3
吝,1926,l,in,4
彣,1927,w,en,2
彣,1927,l,ing,2
应,1928,y,ing,1
应,1928,y,ing,4
冷,1929,j,iu,4
冷,1929,l,eng,3
冷,1929,l,ing,2
冷,1929,l,ing,3
这,1930,zh,e,4
这,1930,zh,ei,4
庐,1931,l,u,2
斈,1932,x,ue,2
斈,1932,y,an,3
応,1933,y,ing,1
応,1933,y,ing,4
応,1933,zh,an,3
応,1933,zh,en,3
乲,1934,b,ei,4
乲,1934,z,i,1
序,1935,x,u,4
迒,1936,h,ang,2
迒,1936,x,iang,2
冸,1937,p,an,4
冸,1937,q,ue,1
竍,1938,sh,i,2
辛,1939,ch,i,3
辛,1939,q,i,2
辛,1939,x,in,1
竌,1940,ch,u,4
杗,1941,m,ang,2
冺,1942,m,in,3
肓,1943,h,uang,1
弃,1944,q,i,4
弃,1944,z,e,2
冶,1945,w,an,4
冶,1945,y,e,3
忘,1946,w,ang,2
忘,1946,w,ang,4
闰,1947,r,un,4
闰,1947,ch,ui,2
闱,1948,w,ei,2
闱,1948,x,i,1
闲,1949,x,ian,2
闲,1949,zh,eng,1
闳,1950,h,ong,2
间,1951,j,ian,4
间,1951,b,eng,4
间,1951,j,ian,1
闵,1952,zh,eng,3
闵,1952,m,in,3
闶,1953,k,ang,1
闶,1953,k,ang,4
闶,1953,s,ui,4
闷,1954,m,en,1
闷,1954,m,en,4
闷,1954,y,an,3
羌,1955,q,iang,1
判,1956,p,an,4
兑,1957,y,ue,4
兑,1957,r,ui,4
兑,1957,d,ian,4
兑,1957,d,ui,4
兑,1957,d,uo,2
灴,1958,h,ong,1
灶,1959,z,ao,4
灷,1960,zh,uan,4
灿,1961,d,u,2
灿,1961,sh,u,3
灿,1961,c,an,4
灹,1962,y,u,4
灹,1962,zh,a,4
灼,1963,zh,uo,2
灺,1964,x,ie,4
炀,1965,m,o,4
炀,1965,y,ang,2
弟,1966,t,i,4
弟,1966,t,ui,2
弟,1966,t,an,2
弟,1966,d,i,4
沣,1967,f,eng,1
汪,1968,h,ong,2
汪,1968,w,ang,1
汪,1968,w,ang,3
汧,1969,q,ian,1
汧,1969,y,an,2
汫,1970,j,ing,3
沅,1971,y,uan,2
沄,1972,y,un,2
沐,1973,m,u,4
沛,1974,p,ei,4
沞,1975,z,a,1
汥,1976,j,i,4
汥,1976,zh,i,1
沔,1977,m,ian,3
汰,1978,ch,i,2
汰,1978,t,ai,4
汱,1979,t,ai,4
汱,1979,q,uan,3
汱,1979,f,u,2
汱,1979,j,iu,1
沤,1980,,ou,1
沤,1980,,ou,4
沥,1981,l,i,4
汯,1982,h,ong,2
沋,1983,y,ou,2
洰,1984,j,u,4
沌,1985,zh,uan,4
沌,1985,t,un,2
沌,1985,d,un,4
沌,1985,ch,un,2
沘,1986,b,i,3
沍,1987,h,u,2
沍,1987,h,u,4
沏,1988,q,i,1
沏,1988,q,ie,4
沚,1989,zh,i,3
沙,1990,s,uo,1
沙,1990,sh,a,4
沙,1990,sh,a,1
汨,1991,m,i,4
汩,1992,g,u,3
汩,1992,h,u,2
汩,1992,y,u,4
沖,1993,ch,ong,1
汭,1994,r,ui,4
汭,1994,t,un,1
汻,1995,h,uang,3
汻,1995,h,u,3
汼,1996,n,iu,2
汼,1996,y,ou,2
汽,1997,g,ai,4
汽,1997,q,i,4
汽,1997,y,i,3
沃,1998,w,o,4
沜,1999,p,an,4
沎,2000,h,uo,4
沂,2001,y,in,2
沂,2001,y,i,2
沠,2002,l,iu,2
沠,2002,p,ai,4
汳,2003,b,ian,4
沦,2004,l,un,2
汵,2005,c,en,2
汵,2005,g,an,4
汵,2005,h,an,2
汵,2005,sh,a,1
汹,2006,x,iong,1
汾,2007,f,en,1
汾,2007,f,en,2
汾,2007,p,en,2
泛,2008,f,a,2
泛,2008,f,an,4
泛,2008,f,eng,3
泛,2008,g,ui,3
沧,2009,c,ang,1
汦,2010,zh,i,3
泲,2011,j,i,3
泲,2011,j,ing,4
沕,2012,f,u,1
沕,2012,m,i,4
沕,2012,w,u,4
沨,2013,f,eng,1
汮,2014,j,un,1
沒,2015,m,ei,2
沒,2015,m,o,4
沟,2016,g,ou,1
没,2017,m,e,e
没,2017,m,ei,2
没,2017,m,o,4
汴,2018,b,ian,4
汶,2019,m,en,2
汶,2019,m,in,2
汶,2019,w,en,2
汶,2019,w,en,4
沆,2020,k,ang,4
沆,2020,h,ang,2
沆,2020,h,ang,4
汸,2021,f,ang,1
汸,2021,p,ang,1
沩,2022,w,ei,2
沪,2023,h,u,4
沈,2024,sh,en,3
沈,2024,ch,en,2
沈,2024,t,an,2
沉,2025,ch,en,2
沁,2026,q,in,4
決,2027,j,ue,2
決,2027,q,ue,1
決,2027,x,ue,4
沢,2028,z,e,2
沑,2029,n,iu,3
沑,2029,n,v,4
泐,2030,n,ai,4
泐,2030,n,a,4
泐,2030,l,e,4
泤,2031,s,i,4
沇,2032,w,ei,3
沇,2032,y,an,3
汿,2033,x,u,4
忹,2034,k,uang,2
忹,2034,w,ang,3
忹,2034,y,i,4
忨,2035,w,an,4
忨,2035,m,ing,2
忨,2035,w,an,2
怃,2036,w,u,3
忶,2037,h,un,2
忮,2038,q,i,2
忮,2038,sh,i,4
忮,2038,zh,i,4
怀,2039,f,u,4
怀,2039,h,uai,2
忲,2040,t,ai,4
怄,2041,,ou,4
忧,2042,x,iang,3
忧,2042,y,ou,1
忧,2042,y,ou,4
怇,2043,j,ing,1
怇,2043,j,u,4
忳,2044,t,un,2
忳,2044,zh,un,1
忳,2044,d,un,4
忡,2045,ch,ong,1
忤,2046,w,u,3
忤,2046,w,u,4
忾,2047,k,ai,4
忾,2047,q,i,4
忾,2047,x,i,4
怅,2048,ch,ang,4
忻,2049,x,in,1
忦,2050,j,ia,2
忦,2050,zh,ou,1
忴,2051,c,i,4
忴,2051,q,ian,2
忴,2051,q,in,2
忷,2052,ch,ao,4
忷,2052,x,iong,1
忪,2053,s,ong,1
忪,2053,h,uang,1
忪,2053,zh,ong,1
怆,2054,ch,uang,4
忰,2055,c,ui,4
忰,2055,d,uo,3
忯,2056,p,ai,4
忯,2056,q,i,2
忯,2056,sh,i,4
忺,2057,g,ou,1
忺,2057,x,ian,1
忭,2058,b,ian,4
忭,2058,x,i,4
忟,2059,w,en,3
忟,2059,m,in,2
忟,2059,m,in,3
忼,2060,h,ang,1
忼,2060,h,ang,4
忼,2060,k,ang,1
忱,2061,ch,en,2
忱,2061,d,an,4
快,2062,y,i,4
快,2062,w,ei,4
快,2062,m,i,2
快,2062,k,uai,4
忸,2063,n,iu,3
忬,2064,sh,u,1
忬,2064,y,u,4
労,2065,l,ao,2
労,2065,s,ui,4
宑,2066,j,ing,3
完,2067,w,an,2
完,2067,k,uan,1
宋,2068,s,ong,4
宊,2069,j,ia,1
宊,2069,t,u,1
宏,2070,d,ian,3
宏,2070,h,ong,2
宐,2071,y,i,2
宐,2071,d,iao,1
牢,2072,l,ou,2
牢,2072,x,ue,2
牢,2072,l,ao,2
牢,2072,l,ao,4
宒,2073,q,ian,2
宒,2073,zh,an,1
宒,2073,zh,un,1
宎,2074,m,ang,3
宎,2074,y,ao,1
宎,2074,y,ao,3
究,2075,q,ia,4
究,2075,j,iu,1
究,2075,j,iu,4
穷,2076,q,iong,2
宍,2077,r,ou,4
宍,2077,y,in,2
灾,2078,l,ou,2
灾,2078,z,ai,1
良,2079,l,iang,2
良,2079,l,iang,3
证,2080,zh,eng,4
诂,2081,g,u,3
诃,2082,h,e,1
戻,2083,t,i,4
戻,2083,zh,an,3
启,2084,q,i,3
帍,2085,h,u,4
戺,2086,sh,i,4
戺,2086,y,i,2
戺,2086,zh,ou,3
评,2087,p,ing,2
补,2088,b,u,3
初,2089,ch,u,1
社,2090,sh,e,4
礿,2091,y,ue,4
祀,2092,s,i,4
祂,2093,t,a,1
祃,2094,m,a,4
冝,2095,s,uo,1
冝,2095,y,i,2
诅,2096,z,u,3
识,2097,sh,i,2
识,2097,sh,i,4
识,2097,zh,i,4
诇,2098,x,iong,4
诈,2099,zh,a,4
诉,2100,s,u,4
罕,2101,h,an,3
罕,2101,h,an,4
诊,2102,zh,en,3
诋,2103,d,i,3
诌,2104,zh,ou,1
邲,2105,b,i,4
邲,2105,b,ian,4
吢,2106,q,in,4
词,2107,c,i,2
诎,2108,q,u,1
诏,2109,zh,ao,4
诐,2110,b,i,4
译,2111,y,i,4
诒,2112,y,i,2
诒,2112,d,ai,4
君,2113,j,un,1
灵,2114,l,ing,2
即,2115,j,i,2
即,2115,n,iu,3
层,2116,c,eng,2
层,2116,n,u,2
杘,2117,ch,i,4
屁,2118,s,e,4
屁,2118,p,i,4
尿,2119,n,iao,4
尿,2119,s,ui,1
屃,2120,x,i,4
屃,2120,y,i,4
尾,2121,w,ei,3
尾,2121,y,i,3
尾,2121,zh,ai,4
迟,2122,ch,i,2
局,2123,j,u,2
局,2123,f,u,1
戼,2124,m,ao,3
弡,2125,j,ue,2
弡,2125,zh,ang,1
刡,2126,m,in,3
改,2127,g,ai,3
改,2127,n,ai,4
攺,2128,y,i,3
张,2129,zh,ang,1
刜,2130,x,i,4
刜,2130,f,u,2
弞,2131,f,an,2
弞,2131,sh,en,3
忌,2132,j,i,4
弝,2133,b,a,4
弝,2133,ch,i,1
际,2134,j,i,4
陆,2135,l,u,4
陆,2135,l,iu,4
陆,2135,ch,eng,2
阷,2136,ch,eng,1
阹,2137,q,u,1
阹,2137,s,u,4
阿,2138,t,ao,2
阿,2138,,e,3
阿,2138,,a,4
阿,2138,,e,1
阿,2138,,a,1
阿,2138,,a,a
阿,2138,,a,3
陃,2139,b,ing,3
壯,2140,y,ou,1
壯,2140,zh,uang,1
壯,2140,zh,uang,4
孜,2141,j,i,4
孜,2141,z,i,1
妝,2142,zh,uang,1
妝,2142,l,an,3
陇,2143,l,ong,3
陇,2143,s,ui,2
孞,2144,x,in,4
孞,2144,y,uan,4
陈,2145,ch,en,2
陈,2145,s,ao,1
岊,2146,j,ie,2
岊,2146,l,iao,2
阽,2147,zh,eng,1
阽,2147,d,ian,4
阽,2147,y,an,2
妛,2148,ch,i,1
阻,2149,y,u,4
阻,2149,zh,u,4
阻,2149,z,u,3
阼,2150,zh,eng,1
阼,2150,z,uo,4
陁,2151,zh,i,4
陁,2151,t,uo,2
陁,2151,y,i,3
附,2152,b,u,4
附,2152,f,u,1
附,2152,f,u,4
附,2152,l,iu,2
坠,2153,s,i,1
坠,2153,x,iu,4
坠,2153,zh,ui,4
阾,2154,l,in,2
阾,2154,l,ing,2
阾,2154,l,ing,3
阺,2155,d,i,3
阺,2155,t,ui,2
陀,2156,d,uo,4
陀,2156,t,uo,2
阸,2157,,e,4
阸,2157,,ai,4
陂,2158,p,o,1
陂,2158,p,i,2
陂,2158,b,i,4
陂,2158,b,ei,1
陉,2159,x,ing,2
妦,2160,f,eng,1
妌,2161,j,ing,4
妌,2161,l,ong,4
妍,2162,y,an,2
妍,2162,y,an,3
妍,2162,,an,3
妋,2163,f,u,1
妋,2163,y,ou,1
妧,2164,w,an,4
妧,2164,y,uan,2
妩,2165,w,u,3
妘,2166,f,u,2
妘,2166,y,un,2
姉,2167,z,i,3
妓,2168,j,i,4
妓,2168,j,i,1
妚,2169,f,ou,3
妚,2169,p,ei,1
妚,2169,p,i,1
妪,2170,y,u,4
姖,2171,j,u,4
妣,2172,b,i,3
妣,2172,g,ui,1
呄,2173,g,e,2
妙,2174,m,iao,4
妙,2174,m,iao,3
妕,2175,zh,ong,4
妠,2176,n,a,4
妠,2176,n,an,4
妊,2177,r,en,2
妊,2177,r,en,4
妊,2177,w,en,3
妖,2178,y,ao,3
妖,2178,y,ao,1
妖,2178,j,iao,3
妡,2179,x,in,1
妎,2180,h,ai,4
妎,2180,j,ie,4
妗,2181,ch,uang,1
妗,2181,j,in,4
妗,2181,x,ian,1
妢,2182,j,iao,4
妢,2182,f,en,2
妐,2183,zh,ong,1
姂,2184,f,a,2
姂,2184,g,ong,3
姊,2185,z,i,3
妏,2186,w,en,4
妔,2187,k,eng,1
妔,2187,h,ang,2
妔,2187,k,an,3
妨,2188,k,e,4
妨,2188,f,ang,2
妨,2188,f,ang,1
妫,2189,g,ui,1
妒,2190,d,u,4
妉,2191,d,an,1
妜,2192,b,eng,4
妜,2192,j,ue,2
妜,2192,y,ue,4
妞,2193,q,ia,4
妞,2193,n,iu,1
妞,2193,h,ao,4
妑,2194,p,a,1
姒,2195,g,ou,4
姒,2195,s,i,4
妤,2196,y,u,2
努,2197,n,u,3
努,2197,w,ei,3
刟,2198,d,iao,1
刟,2198,s,ou,3
卲,2199,n,a,4
卲,2199,sh,ao,4
邵,2200,sh,ao,4
邵,2200,d,ian,4
劭,2201,z,un,4
劭,2201,sh,ao,4
盁,2202,y,ing,2
忍,2203,g,u,1
忍,2203,r,en,3
忍,2203,r,en,4
刭,2204,j,ing,3
劲,2205,j,in,4
劲,2205,j,ing,4
甬,2206,y,ong,3
甬,2206,d,u,4
甬,2206,d,ong,4
刣,2207,zh,ong,1
邰,2208,t,ai,2
矣,2209,g,u,3
矣,2209,x,ian,2
矣,2209,y,i,3
夋,2210,q,un,1
夋,2210,zh,e,2
鸡,2211,j,i,1
纬,2212,w,ei,3
纭,2213,y,un,2
驱,2214,q,ia,4
驱,2214,q,u,1
纮,2215,h,ong,2
纯,2216,ch,un,2
纰,2217,p,i,2
纰,2217,p,i,1
纰,2217,b,i,3
纰,2217,n,i,4
纱,2218,sh,a,1
驲,2219,h,e,2
驲,2219,r,i,4
纲,2220,c,u,1
纲,2220,g,ang,1
纳,2221,n,a,4
纴,2222,r,en,4
纴,2222,w,u,3
纵,2223,z,ong,4
纵,2223,z,ong,3
驳,2224,b,o,2
驳,2224,ch,ong,4
纶,2225,ch,u,4
纶,2225,g,uan,1
纶,2225,l,un,2
纷,2226,f,en,1
纷,2226,s,u,1
纸,2227,zh,i,3
纸,2227,y,ong,2
纹,2228,j,u,3
纹,2228,w,en,2
纹,2228,w,en,4
纺,2229,b,a,2
纺,2229,f,ang,3
纻,2230,zh,u,4
驴,2231,l,v,2
驴,2231,y,an,2
纼,2232,zh,en,4
纼,2232,c,i,3
纽,2233,d,i,4
纽,2233,n,iu,3
纾,2234,p,an,3
纾,2234,sh,u,1
糺,2235,j,iu,1
糺,2235,j,iu,3
糺,2235,n,ao,3
災,2236,z,ai,1
邼,2237,g,eng,3
邼,2237,k,uang,1
劻,2238,k,uang,1
耓,2239,t,ing,1
奉,2240,f,eng,4
