zi,index,ini,fin,tone
邓,348,sh,an,1
劝,349,q,uan,4
厸,350,q,ia,4
厸,350,m,in,n
厸,350,m,iao,3
厸,350,l,in,2
双,351,sh,uang,1
毌,352,g,uan,4
毌,352,w,an,1
毌,352,w,ang,2
书,353,b,i,3
书,353,sh,u,1
毋,354,w,u,2
毋,354,m,ou,2
乣,355,h,u,4
乣,355,j,iu,3
幻,356,f,en,4
幻,356,h,uan,4
弍,357,,er,4
玉,358,y,u,4
玊,359,s,u,4
匞,360,sh,uo,4
匞,360,j,iang,4
玌,361,q,iu,2
刊,362,k,an,1
刊,362,sh,a,4
未,363,w,ei,4
末,364,m,e,e
末,364,m,o,4
示,365,zh,i,4
示,365,sh,i,4
示,365,sh,i,2
示,365,q,i,2
击,366,j,i,1
邗,367,h,an,2
邗,367,p,u,4
邘,368,y,u,2
丼,369,d,an,3
丼,369,j,ing,3
丼,369,w,u,3
戋,370,j,ian,1
圢,371,t,ing,3
打,372,d,a,2
打,372,d,a,3
巧,373,q,iao,3
正,374,zh,eng,1
正,374,zh,eng,4
圤,375,p,u,2
扑,376,p,i,4
扑,376,p,u,1
卉,377,sh,e,4
卉,377,h,ui,4
圦,378,k,uai,4
圦,378,n,i,3
圦,378,x,ian,3
扒,379,b,a,1
扒,379,b,ai,4
扒,379,b,ie,2
扒,379,p,a,2
扖,380,r,u,4
圥,381,y,i,4
圥,381,l,u,4
扏,382,q,iu,2
凷,383,k,uai,4
卭,384,q,iong,2
卭,384,zh,i,4
壭,385,s,an,n
邛,386,q,iong,2
功,387,g,ong,1
扐,388,zh,u,3
扐,388,l,i,4
扐,388,c,ai,2
扐,388,l,e,4
扔,389,r,eng,1
扔,389,r,eng,4
去,390,q,u,1
去,390,q,u,4
払,391,f,an,3
払,391,f,u,2
甘,392,h,an,1
甘,392,g,an,1
艼,393,d,ing,3
艼,393,t,ing,1
世,394,,ai,1
世,394,sh,i,4
丗,395,f,u,4
丗,395,sh,i,4
卌,396,x,i,4
艾,397,y,i,4
艾,397,t,ian,2
艾,397,,ai,4
艽,398,j,iao,1
艽,398,q,iu,2
艽,398,x,iang,4
芁,399,j,iao,1
芁,399,q,iu,2
古,400,k,u,1
古,400,k,ua,4
古,400,g,u,3
古,400,g,u,4
节,401,j,ie,1
节,401,j,ie,2
艻,402,j,i,2
艻,402,l,e,4
艿,403,n,ai,3
艿,403,r,eng,2
艿,403,r,eng,4
芀,404,t,iao,2
本,405,b,en,3
本,405,b,en,1
术,406,sh,u,2
术,406,sh,u,4
术,406,t,un,3
术,406,zh,u,2
札,407,m,ang,3
札,407,y,a,4
札,407,zh,a,2
朰,408,zh,uo,2
朰,408,m,u,4
朮,409,sh,u,2
朮,409,sh,u,4
朮,409,zh,u,2
刌,410,c,un,3
辻,411,sh,i,i
辻,411,sh,i,2
辻,411,zh,ui,1
可,412,zh,e,2
可,412,k,e,4
可,412,g,e,1
可,412,k,e,3
叵,413,p,o,3
匝,414,z,a,1
丙,415,b,ing,3
丙,415,b,ing,4
厈,416,h,an,4
厈,416,w,u,4
厈,416,,an,4
厈,416,h,an,3
圧,417,y,a,1
左,418,z,uo,3
厉,419,l,i,4
丕,420,h,an,1
丕,420,p,i,1
右,421,y,ou,4
石,422,sh,i,2
石,422,d,an,4
布,423,h,ui,3
布,423,b,u,4
厇,424,zh,ai,2
厇,424,zh,e,2
夳,425,c,uan,4
夳,425,j,iu,1
夳,425,t,ai,4
夲,426,b,en,3
夲,426,t,ao,1
夰,427,g,ao,3
冭,428,t,ai,4
夯,429,b,en,4
夯,429,h,ang,1
厺,430,q,u,4
厺,430,t,iao,4
达,431,d,a,2
达,431,t,a,4
达,431,t,i,4
达,431,t,iao,4
戊,432,w,u,4
龙,433,l,ong,2
犮,434,b,a,2
犮,434,q,uan,3
匛,435,j,iu,4
匛,435,l,i,2
平,436,b,eng,1
平,436,b,ing,4
平,436,h,uan,2
平,436,p,ian,2
平,436,p,ing,2
平,436,q,uan,3
灭,437,m,ie,4
乬,438,j,u,4
巪,439,j,u,4
巪,439,q,ian,2
轧,440,zh,a,2
轧,440,y,a,4
轧,440,g,a,2
轧,440,h,uan,1
东,441,d,ong,1
匜,442,y,i,2
劢,443,m,ai,4
戉,444,y,ue,4
卡,445,k,a,3
卡,445,q,ia,3
仧,446,ch,ang,2
仧,446,zh,ang,3
北,447,b,ei,3
北,447,b,ei,4
凸,448,t,u,1
占,449,t,ie,1
占,449,zh,an,1
占,449,zh,an,4
歺,450,,e,4
歺,450,j,iu,1
卢,451,l,u,2
业,452,y,e,4
旧,453,j,iu,4
旧,453,d,a,1
帅,454,sh,uai,4
帅,454,b,ian,1
归,455,f,en,4
归,455,g,ui,1
氺,456,f,u,4
氺,456,sh,ui,3
且,457,c,u,2
且,457,j,u,1
且,457,q,ie,3
旦,458,d,an,4
目,459,m,u,4
叮,460,d,ing,1
叮,460,,an,4
叶,461,x,ie,2
叶,461,y,e,4
曱,462,q,u,1
曱,462,y,ue,1
甲,463,j,ia,3
申,464,sh,en,1
申,464,t,uo,2
号,465,zh,i,4
号,465,x,iao,1
号,465,h,ao,4
号,465,h,ao,2
电,466,d,ian,4
田,467,t,ian,2
由,468,y,ao,1
